account,name,link,keywords,language
@lrp@mastodon.social,It's about nothing!,https://mastodon.social/@lrp,,
@dgil@mastodont.cat,Daniel Gil,https://mastodont.cat/@dgil,,
@pacobib@mastodon.cloud,Paco Martínez,https://mastodon.cloud/@pacobib,OpenScience OpenAccess OpenData OpenSource OpenResearch OpenCulture PublicDomain CreativeCommons RightsRetention Preprints OpenPeerReview RecordOfVersions DiamondOA DORA,
@amdelvaz@mastodon.social,Ángel M. Delgado-Vázquez,https://mastodon.social/@amdelvaz,,
@Conchagn@nobigtech.es,Concha,https://masto.nobigtech.es/@Conchagn,,
@serranoubago@mastodont.cat,Serrano de Ubago,https://mastodont.cat/@serranoubago,,
@Iturbide@mastodon.cloud,Arantxa Iturbide,https://mastodon.cloud/@Iturbide,Comunicación OA BibliotecasUniversitarias,
@bibliovirtual@raw.masto.host,María bibliovirtual,https://raw.masto.host/@bibliovirtual,MedLibs Bibliotecas Documentación Investigación CienciasSalud,
@txescu@mastodont.cat,Francesc García Grimau,https://mastodont.cat/@txescu,,
@amelia@mastodon.cloud,Amelia López,https://mastodon.cloud/@amelia,ResesrchSupport Journals Publishing OpenAccess,
@nodami@mastodon.social,Nodami,https://mastodon.social/@nodami,EmpoderamentBibliotecari LibraryAdvocay Bookstodon LibraryLife Fediverso Biblioverso,
@eltransito@mastodon.social,Luis de la Cruz,https://mastodon.social/@eltransito,Bibliotecas Historia,
@BiblioEnfu@social.politicaconciencia.org,BiblioEnfu,https://social.politicaconciencia.org/@BiblioEnfu,Bibliotecas,
@TuSocialMedia@mstdn.science,Lydia Gil,https://mstdn.social/@TuSocialMedia@mstdn.science,,
@infobisoc@red.niboe.info,INFOBISOC,https://red.niboe.info/@infobisoc,Información Bibliotecas Sociedad,
@tramullas@mastodon.social,tramullas,https://mastodon.social/@tramullas,Library&InformationScience OpenSoftware FreeSoftware Wikimedian,
@enriquemuriel@masto.ai,enriquemuriel,https://masto.ai/@enriquemuriel,LibraryandInformationScience CiênciadaInformação BiblioteconomíayDocumentación,
@revista_ribes_journal@mstdn.science ,Revista RIBES - RIBES Journal,https://mstdn.science/@revista_ribes_journal,ScientificJournal Libraries,
@d3m3k1n@mastodont.cat,D3m3k1n,https://mastodont.cat/@d3m3k1n,Documentación Biblioteconomía Lingüística CentrosDocumentación BibliotecasEspecializadas BibliotecasSalud,
@Biblio_Vilareal@mastodon.world,Biblioteca de Vila-real,https://mastodon.world/@Biblio_Vilareal,MediaciónDigital CulturaAbierta  TesorosDigitales,
@arielbrito@mastodon.social,Ariel Brito Jiménez,https://mastodon.social/@arielbrito,bibliotecas InteligenciaArtificial tic patrimonio historia,
@berniethewordsmith@mastodon.online,Bernie The Wordsmith,https://mastodon.online/@berniethewordsmith,Periodismo Documentacion Archivos Bibliotecas CienciaFiccion Fantasia Libros Literatura SoftwareLibre,
